"","make","year","transtype","youSaveSpend"
"346","Hyundai",2015,"Manual",6250
"347","Infiniti",2004,"Automatic",-46250
"348","Infiniti",2004,"Manual",-5000
"349","Infiniti",2005,"Automatic",-39500
"350","Infiniti",2005,"Manual",-3250
"351","Infiniti",2006,"Automatic",-54500
"352","Infiniti",2006,"Manual",-3250
"353","Infiniti",2007,"Automatic",-56750
"354","Infiniti",2007,"Manual",-6500
"355","Infiniti",2008,"Automatic",-71000
"356","Infiniti",2008,"Manual",-6500
"357","Infiniti",2009,"Automatic",-71750
"358","Infiniti",2009,"Manual",-10250
"359","Infiniti",2010,"Automatic",-70750
"360","Infiniti",2010,"Manual",-10250
"361","Infiniti",2011,"Automatic",-59500
"362","Infiniti",2011,"Manual",-7500
"363","Infiniti",2012,"Automatic",-64250
"364","Infiniti",2012,"Manual",-11250
"365","Infiniti",2013,"Automatic",-65750
"366","Infiniti",2013,"Manual",-10250
"367","Infiniti",2014,"Automatic",-62500
"368","Infiniti",2014,"Manual",-7000
"369","Infiniti",2015,"Automatic",-68000
"370","Infiniti",2015,"Manual",-7000
"371","Isuzu",2004,"Automatic",-48000
"372","Isuzu",2004,"Manual",-7000
"373","Isuzu",2005,"Automatic",-28500
"374","Isuzu",2006,"Automatic",-34500
"375","Isuzu",2006,"Manual",-1250
"376","Isuzu",2007,"Automatic",-25250
"377","Isuzu",2007,"Manual",-1750
"378","Isuzu",2008,"Automatic",-19750
"379","Isuzu",2008,"Manual",-1750
"380","Isuzu",2009,"Automatic",-4250
"381","Jaguar",2004,"Automatic",-50250
"382","Jaguar",2004,"Manual",-3750
"383","Jaguar",2005,"Automatic",-66750
"384","Jaguar",2005,"Manual",-17750
"385","Jaguar",2006,"Automatic",-60250
"386","Jaguar",2006,"Manual",-7500
"387","Jaguar",2007,"Automatic",-58000
"388","Jaguar",2008,"Automatic",-58000
"389","Jaguar",2009,"Automatic",-45750
"390","Jaguar",2010,"Automatic",-39750
"391","Jaguar",2011,"Automatic",-46500
"392","Jaguar",2012,"Automatic",-46500
"393","Jaguar",2013,"Automatic",-73750
"394","Jaguar",2014,"Automatic",-74500
"395","Jaguar",2015,"Automatic",-81750
"396","Jeep",2004,"Automatic",-32750
"397","Jeep",2004,"Manual",-20000
"398","Jeep",2005,"Automatic",-45000
"399","Jeep",2005,"Manual",-19250
"400","Jeep",2006,"Automatic",-84500
"401","Jeep",2006,"Manual",-15750
"402","Jeep",2007,"Automatic",-95000
"403","Jeep",2007,"Manual",-14250
"404","Jeep",2008,"Automatic",-93250
"405","Jeep",2008,"Manual",-12000
"406","Jeep",2009,"Automatic",-104250
"407","Jeep",2009,"Manual",-2750
"408","Jeep",2010,"Automatic",-60250
"409","Jeep",2010,"Manual",-2000
"410","Jeep",2011,"Automatic",-35000
"411","Jeep",2011,"Manual",-3250
"412","Jeep",2012,"Automatic",-40250
"413","Jeep",2012,"Manual",-5000
"414","Jeep",2013,"Automatic",-33750
"415","Jeep",2013,"Manual",-4500
"416","Jeep",2014,"Automatic",-36500
"417","Jeep",2014,"Manual",-4000
"418","Jeep",2015,"Automatic",-34500
"419","Jeep",2015,"Manual",-5000
"420","Kia",2004,"Automatic",-19000
"421","Kia",2004,"Manual",-10250
"422","Kia",2005,"Automatic",-22500
"423","Kia",2005,"Manual",-11750
"424","Kia",2006,"Automatic",-20750
"425","Kia",2006,"Manual",-9000
"426","Kia",2007,"Automatic",-24750
"427","Kia",2007,"Manual",250
"428","Kia",2008,"Automatic",-23750
"429","Kia",2008,"Manual",250
"430","Kia",2009,"Automatic",-35000
"431","Kia",2009,"Manual",500
"432","Kia",2010,"Automatic",-14250
"433","Kia",2010,"Manual",3500
"434","Kia",2011,"Automatic",-6000
"435","Kia",2011,"Manual",7000
"436","Kia",2012,"Automatic",7000
"437","Kia",2012,"Manual",6000
"438","Kia",2013,"Automatic",15500
"439","Kia",2013,"Manual",6000
"440","Kia",2014,"Automatic",9500
"441","Kia",2014,"Manual",6250
"442","Kia",2015,"Automatic",3500
"443","Kia",2015,"Manual",5250
"444","Lamborghini",2004,"Automatic",-25500
"445","Lamborghini",2004,"Manual",-29500
"446","Lamborghini",2005,"Automatic",-25500
"447","Lamborghini",2005,"Manual",-29500
"448","Lamborghini",2006,"Automatic",-33250
"449","Lamborghini",2006,"Manual",-36750
"450","Lamborghini",2007,"Automatic",-41500
"451","Lamborghini",2007,"Manual",-44750
"452","Lamborghini",2008,"Automatic",-58750
"453","Lamborghini",2008,"Manual",-50000
"454","Lamborghini",2009,"Automatic",-37500
"455","Lamborghini",2009,"Manual",-44750
"456","Lamborghini",2010,"Automatic",-50250
"457","Lamborghini",2010,"Manual",-44750
"458","Lamborghini",2011,"Automatic",-12000
"459","Lamborghini",2011,"Manual",-15250
"460","Lamborghini",2012,"Automatic",-21500
"461","Lamborghini",2012,"Manual",-15250
"462","Lamborghini",2013,"Automatic",-32500
"463","Lamborghini",2013,"Manual",-15250
"464","Lamborghini",2014,"Automatic",-42000
"465","Lamborghini",2014,"Manual",-15250
"466","Lamborghini",2015,"Automatic",-36000
"467","Land Rover",2004,"Automatic",-25500
"468","Land Rover",2005,"Automatic",-27000
"469","Land Rover",2006,"Automatic",-37500
"470","Land Rover",2007,"Automatic",-36500
"471","Land Rover",2008,"Automatic",-33750
